,publisher,dagger,author,isbn,price,date,title,weeks_on_list,no_of_words_title
66,Tracey Garvis-Graves,0,Tracey Garvis-Graves,None,0,2012-06-24,ON THE ISLAND,9,3
67,"Little, Brown",0,James Patterson and Michael Ledwidge,031612723X,0,2011-09-11,NOW YOU SEE HER,9,4
68,St. Martin's,0,Greer Hendricks and Sarah Pekkanen,125013093X,0,2018-06-03,THE WIFE BETWEEN US,8,4
69,Algonquin,0,Tayari Jones,1616207604,0,2018-04-15,AN AMERICAN MARRIAGE,8,3
70,Grand Central,0,David Baldacci,1455586633,0,2018-01-21,END GAME,8,2
71,Bantam,0,Janet Evanovich,0345543017,0,2017-10-01,TURBO TWENTY-THREE,8,2
72,Random House,0,Emma Cline,0812998618,0,2016-08-21,THE GIRLS,8,2
73,Picador,0,Michael Punke,1250072689,0,2016-03-20,THE REVENANT,8,2
74,Scribner,0,Stephen King,1501111671,0,2016-01-10,THE BAZAAR OF BAD DREAMS,8,5
75,Putnam,0,Nora Roberts,None,0,2015-07-26,WHISKEY BEACH,8,2
76,Delacorte,0,Lee Child,0440246326,0,2014-04-27,NEVER GO BACK,8,3
77,Broadway,0,Max Brooks,0307351939,0,2013-07-28,WORLD WAR Z,8,3
78,"Little, Brown & Company",0,James Patterson,0316210692,0,2013-01-20,"MERRY CHRISTMAS, ALEX CROSS",8,4
79,Random House Publishing,0,Janet Evanovich,0345527704,0,2011-12-18,SMOKIN' SEVENTEEN,8,2
80,Grand Central,0,David Baldacci,0446573078,0,2011-06-26,THE SIXTH MAN,8,3
81,"Little, Brown",0,Michael Connelly,0316069388,0,2011-06-12,THE FIFTH WITNESS,8,3
82,"Little, Brown",0,Michael Connelly,0316225916,0,2018-01-14,TWO KINDS OF TRUTH,7,4
83,Knopf,0,David Lagercrantz,0451494334,0,2017-11-12,THE GIRL WHO TAKES AN EYE FOR AN EYE,7,9
84,"Little, Brown",0,Michael Connelly,0316225975,0,2017-10-15,THE LATE SHOW,7,3
85,"Little, Brown",0,Michael Connelly,0316225959,0,2017-01-15,THE WRONG SIDE OF GOODBYE,7,5
86,"Little, Brown",0,Michael Connelly,None,0,2016-03-27,THE DROP,7,2
87,"Little, Brown",0,James Patterson,0316407143,0,2016-01-24,CROSS JUSTICE,7,2
88,Scribner,0,Stephen King,1476770387,0,2015-01-11,REVIVAL,7,1
89,"Little, Brown",0,James Patterson and David Ellis,None,0,2014-08-31,INVISIBLE,7,1
90,Scribner,0,Stephen King,1476754462,0,2014-08-03,MR. MERCEDES,7,2
91,"Little, Brown",0,James Patterson and Maxine Paetro,0316211281,0,2014-07-06,UNLUCKY 13,7,2
92,"Little, Brown",0,James Patterson,0316210927,0,2014-02-02,CROSS MY HEART,7,3
93,Grand Central,0,David Baldacci,None,0,2014-01-19,KING AND MAXWELL,7,3
94,Rachel Van Dyken,0,Rachel Van Dyken,0989078310,0,2013-06-02,THE BET,7,2
95,Knopf Doubleday Publishing,0,Maeve Binchy,None,0,2013-04-14,A WEEK IN WINTER,7,4
96,Colleen Hoover,0,Colleen Hoover,None,0,2013-02-24,HOPELESS,7,1
97,Atria Books,0,Vince Flynn,None,0,2012-04-08,KILL SHOT,7,2
98,"Little, Brown & Company",0,James Patterson and Marshall Karp,0316097551,0,2011-10-30,KILL ME IF YOU CAN,7,5
99,Grand Central,0,David Baldacci,1538761378,0,2018-06-09,THE FALLEN,6,2
100,Putnam,0,John Sandford,1101988843,0,2018-04-22,GOLDEN PREY,6,2
101,Scribner,0,Jason Matthews,None,0,2018-04-15,RED SPARROW,6,2
102,"Little, Brown",0,James Patterson and Maxine Paetro,031655345X,0,2018-02-18,16TH SEDUCTION,6,2
103,Delacorte,0,Lee Child,0399593594,0,2018-02-04,NO MIDDLE NAME,6,3
104,"Little, Brown",0,James Patterson,None,0,2018-01-14,THE PEOPLE VS. ALEX CROSS,6,5
105,Crown,0,Andy Weir,0553448129,0,2018-01-07,ARTEMIS,6,1
106,Putnam,0,Janet Evanovich,0399179194,0,2018-01-07,HARDCORE TWENTY-FOUR,6,2
107,Simon & Schuster,0,Nelson DeMille,1501101749,0,2017-11-12,THE CUBAN AFFAIR,6,3
108,"Little, Brown",0,Elin Hilderbrand,0316375209,0,2017-08-06,THE IDENTICALS,6,2
109,"Little, Brown",0,James Patterson and David Ellis,0316464147,0,2017-05-21,THE BLACK BOOK,6,3
110,Norton,0,Neil Gaiman,039360909X,0,2017-04-02,NORSE MYTHOLOGY,6,2
111,HarperCollins,0,Paulo Coelho,0062416219,0,2017-01-15,THE ALCHEMIST,6,2
112,Harlequin,0,Nora Roberts,1459295366,0,2016-12-11,UNFINISHED BUSINESS,6,2
113,Dutton,0,Harlan Coben,0698411447,0,2016-11-13,HOME,6,1
114,Scribner,0,Stephen King,1501129740,0,2016-07-31,END OF WATCH,6,3
115,Dutton,0,Harlan Coben,0698404173,0,2016-05-15,FOOL ME ONCE,6,3
116,Emily Bestler/Atria,0,Vince Flynn and Kyle Mills,1476783470,0,2015-11-29,THE SURVIVOR,6,2
117,Emily Bestler/Atria,0,Brad Thor,1476717176,0,2015-08-30,CODE OF CONDUCT,6,3
118,Harper,0,Daniel Silva,None,0,2014-09-07,THE HEIST,6,2
119,"Mulholland/Little, Brown",0,Robert Galbraith,None,0,2014-08-10,THE SILKWORM,6,2
120,"Little, Brown",0,James Patterson and Marshall Karp,0316211249,0,2014-05-18,NYPD RED 2,6,3
121,Dutton,0,Harlan Coben,0698148630,0,2014-05-11,MISSING YOU,6,2
122,Dell,0,Lee Child,0440246318,0,2013-06-23,A WANTED MAN,6,3
123,"Little, Brown & Company",0,Stephenie Meyer,0316128651,0,2013-04-28,THE HOST,6,2
124,Simon & Schuster,0,Vince Flynn,141659521X,0,2013-01-06,THE LAST MAN,6,3
125,"Little, Brown & Company",0,James Patterson and Mark Sullivan,0316206814,0,2012-04-08,PRIVATE GAMES,6,2
126,Penguin Group,0,Sue Grafton,0399157867,0,2012-01-08,V IS FOR VENGEANCE,6,4
127,Penguin Group,0,Charlaine Harris,None,0,2011-06-26,DEAD RECKONING,6,2
128,Simon & Schuster,0,Jodi Picoult,1439102724,0,2011-04-24,SING YOU HOME,6,3
129,Putnam,0,John Sandford,073521736X,0,2018-06-09,TWISTED PREY,5,2
130,Delacorte,0,Danielle Steel,1101883960,0,2018-05-06,THE RIGHT TIME,5,3
131,Pamela Dorman/Viking,0,Jojo Moyes,0399562478,0,2018-03-18,STILL ME,5,2
132,Scribner,0,Stephen King and Owen King,150116340X,0,2018-01-07,SLEEPING BEAUTIES,5,2
133,"Little, Brown",0,James Patterson and Howard Roughan,0316553476,0,2017-08-13,MURDER GAMES,5,2
134,St. Martin's,0,Nora Roberts,1250123100,0,2017-07-16,COME SUNDOWN,5,2
135,"Little, Brown",0,James Patterson and Michael Ledwidge,1455585300,0,2017-03-12,BULLSEYE,5,1
136,"Little, Brown",0,James Patterson and Candice Fox,0316433179,0,2017-03-05,NEVER NEVER,5,2
137,Delacorte,0,Danielle Steel,0425285421,0,2017-02-19,THE APARTMENT,5,2
138,Putnam,0,John Sandford,None,0,2016-06-12,EXTREME PREY,5,2
139,Random House,0,Elizabeth Strout,0812989074,0,2016-02-28,MY NAME IS LUCY BARTON,5,5
140,Morrow/HarperCollins,0,Karin Slaughter,006242906X,0,2016-01-17,PRETTY GIRLS,5,2
141,Harper/HarperCollins,0,Mitch Albom,0062294415,0,2016-01-10,THE MAGIC STRINGS OF FRANKIE PRESTO,5,6
142,Marian Wood/Putnam,0,Sue Grafton,110161434X,0,2015-10-11,X,5,1
143,Morrow/HarperCollins,0,Patricia Cornwell,None,0,2015-08-30,FLESH AND BLOOD,5,3
144,Random House Publishing,0,Debbie Macomber,0345535111,0,2015-05-24,THE INN AT ROSE HARBOR,5,5
145,Putnam,0,John Sandford,None,0,2014-11-23,DEADLINE,5,1
